Title,Content
liver function abnormalities in heart failure,"BACKGROUND	This study analyzed liver function abnormalities in heart failure patients admitted with severe acute decompensated heart failure ( ADHF ) .
RESULTS	A post hoc analysis was conducted with the use of data from the Evaluation Study of Congestive Heart Failure and Pulmonary Artery Catheterization Effectiveness ( ESCAPE ) .
RESULTS	Liver function tests ( LFTs ) were measured at 7 time points from baseline , at discharge , and up to 6 months follow-up .
RESULTS	Survival analyses were used to assess the association between admission Model of End-Stage Liver Disease Excluding International Normalized Ratio ( MELD-XI ) scores and patient outcome.There was a high prevalence of abnormal baseline ( admission ) LFTs ( albumin 23.8 % , aspartate transaminase 23.5 % , alanine transaminase 23.8 % , and total bilirubin 36.1 % ) .
RESULTS	The percentage of patients with abnormal LFTs decreased significantly from baseline to 6-months ' follow-up .
RESULTS	When mean hemodynamic profiles were compared in patients with abnormal versus normal LFTs , elevated total bilirubin was associated with a significantly lower cardiac index ( 1.80 vs 2.1 ; P < .001 ) and higher central venous pressure ( 14.2 vs 12.0 ; P = .03 ) .
RESULTS	Multivariable analyses revealed that patients with elevated MELD-XI scores ( 16.8 ) had a 2-fold ( hazard ratio2 .06 , 95 % confidence interval 1.05-4 .03 ) increased risk of death , rehospitalization , or transplantation after adjusting for baseline LFTs , age , sex , race , body mass index , diabetes , and systolic blood pressure .
CONCLUSIONS	Abnormal LFTs are common in the ADHF population and are a dynamic marker of an impaired hemodynamic state .
CONCLUSIONS	Elevated MELD-XI scores are associated with poor outcomes among patients admitted with ADHF ."
endovascular aneurysm repair ( EVAR ),"BACKGROUND	Minimally invasive endovascular aneurysm repair ( EVAR ) could be a surgical technique that improves outcome of patients with ruptured abdominal aortic aneurysm ( rAAA ) .
BACKGROUND	The aim of this study was to analyse the cost-effectiveness and cost-utility of EVAR compared with standard open repair ( OR ) in the treatment of rAAA , with costs per 30-day and 6-month survivor as outcome parameters .
METHODS	Resource use was determined from the Amsterdam Acute Aneurysm ( AJAX ) trial , a multicentre randomized trial comparing EVAR with OR in patients with rAAA .
METHODS	The analysis was performed from a provider perspective .
METHODS	All costs were calculated as if all patients had been treated in the same hospital ( Onze Lieve Vrouwe Gasthuis , teaching hospital ) .
RESULTS	A total of 116 patients were randomized .
RESULTS	The 30-day mortality rate was 21 per cent after EVAR and 25 per cent for OR : absolute risk reduction ( ARR ) 44 ( 95 per cent confidence interval ( c.i. ) -110 to 197 ) per cent .
RESULTS	At 6months , the total mortality rate for EVAR was 28 per cent , compared with 31 per cent among those assigned to OR : ARR 24 ( -142 to 190 ) per cent .
RESULTS	The mean cost difference between EVAR and OR was 5306 ( 95 per cent c.i. -1854 to 12,659 ) at 30days and 10,189 ( -2477 to 24,506 ) at 6months .
RESULTS	The incremental cost-effectiveness ratio per prevented death was 120,591 at 30days and 424,542 at 6months .
RESULTS	There was no significant difference in quality of life between EVAR and OR .
RESULTS	Nor was EVAR superior regarding cost-utility .
CONCLUSIONS	EVAR may be more effective for rAAA , but its increased costs mean that it is unaffordable based on current standards of societal willingness-to-pay for health gains ."
social anxiety,"BACKGROUND	Evidence suggests that individuals with social anxiety demonstrate vigilance to social threat , whilst the peptide hormone oxytocin is widely accepted as supporting affiliative behaviour in humans .
METHODS	This study investigated whether oxytocin can affect attentional bias in social anxiety .
METHODS	In a double-blind , randomized , placebo-controlled , within-group study design , 26 healthy and 16 highly socially anxious ( HSA ) male volunteers ( within the HSA group , 10 were diagnosed with generalized social anxiety disorder ) were administered 24 IU of oxytocin or placebo to investigate attentional processing in social anxiety .
METHODS	Attentional bias was assessed using the dot-probe paradigm with angry , fearful , happy and neutral face stimuli .
